,circuitId,season,round,raceName,date,circuitName,Location,Driver_Position,Driver_Points,driverRef,constructorRef,grid_pos,completed_laps,race_status,race_time
10,indianapolis,1950,3,Indianapolis 500,1950-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",1.0,9.0,'parsons','kurtis_kraft',5.0,138.0,'Finished'," {'millis': '10015970', 'time': '2:46:55.97'}}"
11,indianapolis,1950,3,Indianapolis 500,1950-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",2.0,6.0,'holland','deidt',10.0,137.0,'+1 Lap'},
12,indianapolis,1950,3,Indianapolis 500,1950-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",3.0,4.0,'rose','deidt',3.0,137.0,'+1 Lap'},
13,indianapolis,1950,3,Indianapolis 500,1950-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",4.0,3.0,'green','kurtis_kraft',12.0,137.0,'+1 Lap'},
14,indianapolis,1950,3,Indianapolis 500,1950-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",5.0,1.0,'chitwood','kurtis_kraft',9.0,136.0,'+2 Laps'},
15,bremgarten,1950,4,Swiss Grand Prix,1950-06-04,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",1.0,9.0,'farina','alfa',2.0,42.0,'Finished'," {'millis': '7373700', 'time': '2:02:53.7'}}"
16,bremgarten,1950,4,Swiss Grand Prix,1950-06-04,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",2.0,6.0,'fagioli','alfa',3.0,42.0,'Finished'," {'millis': '7374100', 'time': '+0.4'}}"
17,bremgarten,1950,4,Swiss Grand Prix,1950-06-04,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",3.0,4.0,'rosier','lago',10.0,41.0,'+1 Lap'},
18,bremgarten,1950,4,Swiss Grand Prix,1950-06-04,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",4.0,3.0,'bira','maserati',8.0,40.0,'+2 Laps'},
19,bremgarten,1950,4,Swiss Grand Prix,1950-06-04,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",5.0,2.0,'bonetto','maserati',12.0,40.0,'+2 Laps'},
20,spa,1950,5,Belgian Grand Prix,1950-06-18,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",1.0,8.0,'fangio','alfa',2.0,35.0,'Finished'," {'millis': '10046000', 'time': '2:47:26.0'}}"
21,spa,1950,5,Belgian Grand Prix,1950-06-18,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",2.0,6.0,'fagioli','alfa',3.0,35.0,'Finished'," {'millis': '10060000', 'time': '+14.0'}}"
22,spa,1950,5,Belgian Grand Prix,1950-06-18,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",3.0,4.0,'rosier','lago',8.0,35.0,'Finished'," {'millis': '10185000', 'time': '+2:19.0'}}"
23,spa,1950,5,Belgian Grand Prix,1950-06-18,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",4.0,4.0,'farina','alfa',1.0,35.0,'Finished'," {'millis': '10291000', 'time': '+4:05.0'}}"
24,spa,1950,5,Belgian Grand Prix,1950-06-18,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",5.0,2.0,'ascari','ferrari',7.0,34.0,'+1 Lap'},
25,reims,1950,6,French Grand Prix,1950-07-02,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",1.0,9.0,'fangio','alfa',1.0,64.0,'Finished'," {'millis': '10672800', 'time': '2:57:52.8'}}"
26,reims,1950,6,French Grand Prix,1950-07-02,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",2.0,6.0,'fagioli','alfa',3.0,64.0,'Finished'," {'millis': '10698500', 'time': '+25.7'}}"
27,reims,1950,6,French Grand Prix,1950-07-02,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",3.0,4.0,'whitehead','ferrari',18.0,61.0,'+3 Laps'},
28,reims,1950,6,French Grand Prix,1950-07-02,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",4.0,3.0,'manzon','simca',12.0,61.0,'+3 Laps'},
29,reims,1950,6,French Grand Prix,1950-07-02,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",5.0,1.0,'etancelin','lago',4.0,59.0,'+5 Laps'},
30,monza,1950,7,Italian Grand Prix,1950-09-03,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",1.0,8.0,'farina','alfa',3.0,80.0,'Finished'," {'millis': '10277400', 'time': '2:51:17.4'}}"
31,monza,1950,7,Italian Grand Prix,1950-09-03,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",2.0,3.0,'serafini','ferrari',6.0,80.0,'Finished'," {'millis': '10356000', 'time': '+1:18.6'}}"
32,monza,1950,7,Italian Grand Prix,1950-09-03,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",2.0,3.0,'ascari','ferrari',6.0,80.0,'Finished'},
33,monza,1950,7,Italian Grand Prix,1950-09-03,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",3.0,4.0,'fagioli','alfa',5.0,80.0,'Finished'," {'millis': '10373000', 'time': '+1:35.6'}}"
34,monza,1950,7,Italian Grand Prix,1950-09-03,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",4.0,3.0,'rosier','lago',13.0,75.0,'+5 Laps'},
35,bremgarten,1951,1,Swiss Grand Prix,1951-05-27,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",1.0,9.0,'fangio','alfa',1.0,42.0,'Finished'," {'millis': '7673640', 'time': '2:07:53.64'}}"
36,bremgarten,1951,1,Swiss Grand Prix,1951-05-27,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",2.0,6.0,'taruffi','ferrari',6.0,42.0,'Finished'," {'millis': '7728880', 'time': '+55.24'}}"
37,bremgarten,1951,1,Swiss Grand Prix,1951-05-27,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",3.0,4.0,'farina','alfa',2.0,42.0,'Finished'," {'millis': '7752950', 'time': '+1:19.31'}}"
38,bremgarten,1951,1,Swiss Grand Prix,1951-05-27,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",4.0,3.0,'sanesi','alfa',4.0,41.0,'+1 Lap'},
39,bremgarten,1951,1,Swiss Grand Prix,1951-05-27,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",5.0,2.0,'graffenried','alfa',5.0,40.0,'+2 Laps'},
40,indianapolis,1951,2,Indianapolis 500,1951-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",1.0,9.0,'wallard','kurtis_kraft',2.0,200.0,'Finished'," {'millis': '14258050', 'time': '3:57:38.05'}}"
41,indianapolis,1951,2,Indianapolis 500,1951-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",2.0,6.0,'nazaruk','kurtis_kraft',7.0,200.0,'Finished'," {'millis': '14365290', 'time': '+1:47.24'}}"
42,indianapolis,1951,2,Indianapolis 500,1951-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",3.0,2.0,'mcgrath','kurtis_kraft',3.0,200.0,'Finished'," {'millis': '14429440', 'time': '+2:51.39'}}"
43,indianapolis,1951,2,Indianapolis 500,1951-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",3.0,2.0,'ayulo','kurtis_kraft',3.0,200.0,'Finished'," {'millis': '14429440', 'time': '+2:51.39'}}"
44,indianapolis,1951,2,Indianapolis 500,1951-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",4.0,3.0,'linden','sherman',31.0,200.0,'Finished'," {'millis': '14538170', 'time': '+4:40.12'}}"
45,spa,1951,3,Belgian Grand Prix,1951-06-17,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",1.0,8.0,'farina','alfa',2.0,36.0,'Finished'," {'millis': '9946200', 'time': '2:45:46.2'}}"
46,spa,1951,3,Belgian Grand Prix,1951-06-17,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",2.0,6.0,'ascari','ferrari',4.0,36.0,'Finished'," {'millis': '10117200', 'time': '+2:51.0'}}"
47,spa,1951,3,Belgian Grand Prix,1951-06-17,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",3.0,4.0,'villoresi','ferrari',3.0,36.0,'Finished'," {'millis': '10208100', 'time': '+4:21.9'}}"
48,spa,1951,3,Belgian Grand Prix,1951-06-17,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",4.0,3.0,'rosier','lago',7.0,34.0,'+2 Laps'},
49,spa,1951,3,Belgian Grand Prix,1951-06-17,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",5.0,2.0,'cabantous','lago',8.0,34.0,'+2 Laps'},
50,reims,1951,4,French Grand Prix,1951-07-01,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",1.0,4.0,'fagioli','alfa',7.0,77.0,'Finished'," {'millis': '12131000', 'time': '3:22:11.0'}}"
51,reims,1951,4,French Grand Prix,1951-07-01,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",1.0,5.0,'fangio','alfa',7.0,77.0,'Finished'," {'millis': '12131000', 'time': '3:22:11.0'}}"
52,reims,1951,4,French Grand Prix,1951-07-01,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",2.0,3.0,'ascari','ferrari',6.0,77.0,'Finished'," {'millis': '12189200', 'time': '+58.2'}}"
53,reims,1951,4,French Grand Prix,1951-07-01,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",2.0,3.0,'gonzalez','ferrari',6.0,77.0,'Finished'," {'millis': '12189200', 'time': '+58.2'}}"
54,reims,1951,4,French Grand Prix,1951-07-01,Reims-Gueux,"{'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}",3.0,4.0,'villoresi','ferrari',4.0,74.0,'+3 Laps'},
55,silverstone,1951,5,British Grand Prix,1951-07-14,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",1.0,8.0,'gonzalez','ferrari',1.0,90.0,'Finished'," {'millis': '9738200', 'time': '2:42:18.2'}}"
56,silverstone,1951,5,British Grand Prix,1951-07-14,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",2.0,6.0,'fangio','alfa',2.0,90.0,'Finished'," {'millis': '9789200', 'time': '+51.0'}}"
57,silverstone,1951,5,British Grand Prix,1951-07-14,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",3.0,4.0,'villoresi','ferrari',5.0,88.0,'+2 Laps'},
58,silverstone,1951,5,British Grand Prix,1951-07-14,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",4.0,3.0,'bonetto','alfa',7.0,87.0,'+3 Laps'},
59,silverstone,1951,5,British Grand Prix,1951-07-14,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",5.0,2.0,'reg_parnell','brm',20.0,85.0,'+5 Laps'},
60,nurburgring,1951,6,German Grand Prix,1951-07-29,Nürburgring,"{'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}",1.0,8.0,'ascari','ferrari',1.0,20.0,'Finished'," {'millis': '12183300', 'time': '3:23:03.3'}}"
61,nurburgring,1951,6,German Grand Prix,1951-07-29,Nürburgring,"{'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}",2.0,7.0,'fangio','alfa',3.0,20.0,'Finished'," {'millis': '12213800', 'time': '+30.5'}}"
62,nurburgring,1951,6,German Grand Prix,1951-07-29,Nürburgring,"{'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}",3.0,4.0,'gonzalez','ferrari',2.0,20.0,'Finished'," {'millis': '12462300', 'time': '+4:39.0'}}"
63,nurburgring,1951,6,German Grand Prix,1951-07-29,Nürburgring,"{'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}",4.0,3.0,'villoresi','ferrari',5.0,20.0,'Finished'," {'millis': '12533500', 'time': '+5:50.2'}}"
64,nurburgring,1951,6,German Grand Prix,1951-07-29,Nürburgring,"{'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}",5.0,2.0,'taruffi','ferrari',6.0,20.0,'Finished'," {'millis': '12652400', 'time': '+7:49.1'}}"
65,monza,1951,7,Italian Grand Prix,1951-09-16,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",1.0,8.0,'ascari','ferrari',3.0,80.0,'Finished'," {'millis': '9759300', 'time': '2:42:39.3'}}"
66,monza,1951,7,Italian Grand Prix,1951-09-16,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",2.0,6.0,'gonzalez','ferrari',4.0,80.0,'Finished'," {'millis': '9783900', 'time': '+24.6'}}"
67,monza,1951,7,Italian Grand Prix,1951-09-16,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",3.0,2.0,'bonetto','alfa',7.0,79.0,'+1 Lap'},
68,monza,1951,7,Italian Grand Prix,1951-09-16,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",3.0,3.0,'farina','alfa',7.0,79.0,'+1 Lap'},
69,monza,1951,7,Italian Grand Prix,1951-09-16,Autodromo Nazionale di Monza,"{'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}",4.0,3.0,'villoresi','ferrari',5.0,79.0,'+1 Lap'},
70,pedralbes,1951,8,Spanish Grand Prix,1951-10-28,Circuit de Pedralbes,"{'lat': '41.3903', 'long': '2.11667', 'locality': 'Barcelona', 'country': 'Spain'}",1.0,9.0,'fangio','alfa',2.0,70.0,'Finished'," {'millis': '10014100', 'time': '2:46:54.10'}}"
71,pedralbes,1951,8,Spanish Grand Prix,1951-10-28,Circuit de Pedralbes,"{'lat': '41.3903', 'long': '2.11667', 'locality': 'Barcelona', 'country': 'Spain'}",2.0,6.0,'gonzalez','ferrari',3.0,70.0,'Finished'," {'millis': '10068380', 'time': '+54.28'}}"
72,pedralbes,1951,8,Spanish Grand Prix,1951-10-28,Circuit de Pedralbes,"{'lat': '41.3903', 'long': '2.11667', 'locality': 'Barcelona', 'country': 'Spain'}",3.0,4.0,'farina','alfa',4.0,70.0,'Finished'," {'millis': '10119640', 'time': '+1:45.54'}}"
73,pedralbes,1951,8,Spanish Grand Prix,1951-10-28,Circuit de Pedralbes,"{'lat': '41.3903', 'long': '2.11667', 'locality': 'Barcelona', 'country': 'Spain'}",4.0,3.0,'ascari','ferrari',1.0,68.0,'+2 Laps'},
74,pedralbes,1951,8,Spanish Grand Prix,1951-10-28,Circuit de Pedralbes,"{'lat': '41.3903', 'long': '2.11667', 'locality': 'Barcelona', 'country': 'Spain'}",5.0,2.0,'bonetto','alfa',8.0,68.0,'+2 Laps'},
75,bremgarten,1952,1,Swiss Grand Prix,1952-05-18,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",1.0,9.0,'taruffi','ferrari',2.0,62.0,'Finished'," {'millis': '10906100', 'time': '3:01:46.1'}}"
76,bremgarten,1952,1,Swiss Grand Prix,1952-05-18,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",2.0,6.0,'fischer','ferrari',5.0,62.0,'Finished'," {'millis': '11063300', 'time': '+2:37.2'}}"
77,bremgarten,1952,1,Swiss Grand Prix,1952-05-18,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",3.0,4.0,'behra','gordini',7.0,61.0,'+1 Lap'},
78,bremgarten,1952,1,Swiss Grand Prix,1952-05-18,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",4.0,3.0,'wharton','frazer_nash',13.0,60.0,'+2 Laps'},
79,bremgarten,1952,1,Swiss Grand Prix,1952-05-18,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}",5.0,2.0,'alan_brown','cooper',15.0,59.0,'+3 Laps'},
80,indianapolis,1952,2,Indianapolis 500,1952-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",1.0,8.0,'ruttman','kuzma',7.0,200.0,'Finished'," {'millis': '13961880', 'time': '3:52:41.88'}}"
81,indianapolis,1952,2,Indianapolis 500,1952-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",2.0,6.0,'rathmann','kurtis_kraft',10.0,200.0,'Finished'," {'millis': '14204210', 'time': '+4:02.33'}}"
82,indianapolis,1952,2,Indianapolis 500,1952-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",3.0,4.0,'hanks','kurtis_kraft',5.0,200.0,'Finished'," {'millis': '14333490', 'time': '+6:11.61'}}"
83,indianapolis,1952,2,Indianapolis 500,1952-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",4.0,3.0,'darter','lesovsky',6.0,200.0,'Finished'," {'millis': '14370220', 'time': '+6:48.34'}}"
84,indianapolis,1952,2,Indianapolis 500,1952-05-30,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}",5.0,2.0,'cross','kurtis_kraft',20.0,200.0,'Finished'," {'millis': '14482030', 'time': '+8:40.15'}}"
85,spa,1952,3,Belgian Grand Prix,1952-06-22,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",1.0,9.0,'ascari','ferrari',1.0,36.0,'Finished'," {'millis': '11026300', 'time': '3:03:46.3'}}"
86,spa,1952,3,Belgian Grand Prix,1952-06-22,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",2.0,6.0,'farina','ferrari',2.0,36.0,'Finished'," {'millis': '11141500', 'time': '+1:55.2'}}"
87,spa,1952,3,Belgian Grand Prix,1952-06-22,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",3.0,4.0,'manzon','gordini',4.0,36.0,'Finished'," {'millis': '11294700', 'time': '+4:28.4'}}"
88,spa,1952,3,Belgian Grand Prix,1952-06-22,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",4.0,3.0,'hawthorn','cooper',6.0,35.0,'+1 Lap'},
89,spa,1952,3,Belgian Grand Prix,1952-06-22,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}",5.0,2.0,'frere','hwm',8.0,34.0,'+2 Laps'},
90,essarts,1952,4,French Grand Prix,1952-07-06,Rouen-Les-Essarts,"{'lat': '49.3306', 'long': '1.00458', 'locality': 'Rouen', 'country': 'France'}",1.0,9.0,'ascari','ferrari',1.0,77.0,'Finished'," {'millis': '10800000', 'time': '3:00:00.0'}}"
91,essarts,1952,4,French Grand Prix,1952-07-06,Rouen-Les-Essarts,"{'lat': '49.3306', 'long': '1.00458', 'locality': 'Rouen', 'country': 'France'}",2.0,6.0,'farina','ferrari',2.0,76.0,'+1 Lap'},
92,essarts,1952,4,French Grand Prix,1952-07-06,Rouen-Les-Essarts,"{'lat': '49.3306', 'long': '1.00458', 'locality': 'Rouen', 'country': 'France'}",3.0,4.0,'taruffi','ferrari',3.0,75.0,'+2 Laps'},
93,essarts,1952,4,French Grand Prix,1952-07-06,Rouen-Les-Essarts,"{'lat': '49.3306', 'long': '1.00458', 'locality': 'Rouen', 'country': 'France'}",4.0,3.0,'manzon','gordini',5.0,74.0,'+3 Laps'},
94,essarts,1952,4,French Grand Prix,1952-07-06,Rouen-Les-Essarts,"{'lat': '49.3306', 'long': '1.00458', 'locality': 'Rouen', 'country': 'France'}",5.0,2.0,'trintignant','simca',6.0,72.0,'+5 Laps'},
95,silverstone,1952,5,British Grand Prix,1952-07-19,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",1.0,9.0,'ascari','ferrari',2.0,85.0,'Finished'," {'millis': '9971000', 'time': '2:46:11.0'}}"
96,silverstone,1952,5,British Grand Prix,1952-07-19,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",2.0,6.0,'taruffi','ferrari',3.0,84.0,'+1 Lap'},
97,silverstone,1952,5,British Grand Prix,1952-07-19,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",3.0,4.0,'hawthorn','cooper',7.0,83.0,'+2 Laps'},
98,silverstone,1952,5,British Grand Prix,1952-07-19,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",4.0,3.0,'poore','connaught',8.0,83.0,'+2 Laps'},
99,silverstone,1952,5,British Grand Prix,1952-07-19,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}",5.0,2.0,'thompson','connaught',9.0,82.0,'+3 Laps'},
100,nurburgring,1952,6,German Grand Prix,1952-08-03,Nürburgring,"{'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}",1.0,9.0,'ascari','ferrari',1.0,18.0,'Finished'," {'millis': '11173300', 'time': '3:06:13.3'}}"
101,nurburgring,1952,6,German Grand Prix,1952-08-03,Nürburgring,"{'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}",2.0,6.0,'farina','ferrari',2.0,18.0,'Finished'," {'millis': '11187400', 'time': '+14.1'}}"
